,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,215.7,197.76,217.86,178.75,133.12,87.49,66.8,64.67,79.37,123.79,177.8,197.6
1999,241.97,215.34,242.36,179.26,157.61,84.39,61.46,47.66,84.5,115.89,173.11,223.2
2000,260.04,254.17,258.93,200.15,138.8,85.81,83.44,64.29,105.11,111.78,175.06,216.96
2001,230.55,209.76,238.39,173.5,129.5,98.31,67.24,46.17,79.74,123.64,161.5,214.82
2002,266.67,217.73,211.73,189.95,150.98,90.36,63.18,57.81,77.91,110.96,142.24,228.65
2003,230.56,223.49,242.78,182.23,139.08,93.61,63.66,67.7,80.94,104.27,146.3,166.63
2004,273.77,275.76,249.19,172.87,133.14,80.75,75.88,53.84,67.14,122.99,148.4,177.16
2005,235,222.93,273.18,183.78,154.97,79.76,55.59,51.48,73.62,116.48,151.39,236.18
2006,208.85,234.02,267.41,223.28,149.99,80,65.97,49.46,74.68,134.19,182.32,202.68
2007,227.22,247.46,216.73,193.59,130.17,71.41,70.84,54.52,60.04,116.75,160.45,203.96
2008,265.92,237.22,277.55,208.59,137.82,84.38,61.34,56.78,76.01,117.69,161.83,230.09
2009,243.51,246.86,260.56,224.42,157,105.56,75.31,62.63,81.4,144.06,132.22,221.92
2010,237.16,208.43,228.82,207.97,132.71,79.43,70.49,42.5,63.66,124.65,161.96,212.34
2011,259.47,252.15,273.59,204.25,145.7,77.7,68.47,54.04,56.26,141.82,159.15,191.08
2012,244.44,228.24,216.53,162.14,123.69,81.66,66.34,44.66,64.68,96.74,164.75,177.66
2013,230.94,215.4,245.88,179.39,144.13,96.63,75.33,65.62,78.41,121.4,168.78,215.1
2014,196.68,233.06,243.3,187.81,135.7,89.16,68.24,53.45,73.15,109,172.01,187.42
2015,187.68,206.62,236.38,185.68,141.12,79.23,74.65,43.41,61.55,91.57,130.19,152.41
2016,247.71,183.59,217.87,151.11,115.69,75.36,60,53.3,67.81,122.38,136.73,187.23
2017,211.66,229.37,223.72,177.76,126.23,75.53,49.2,49.07,61.71,100.66,150.14,201.15
2018,213.03,247.44,221.83,200.47,124.71,69.6,64.59,58.7,80.52,126.99,176.63,220.41
2019,198.8,214.93,240.19,192.22,145.56,78.43,65.91,48.23,61.99,115.79,150.78,175.9
2020,246.86,224.1,232.18,180.78,128.93,90.98,58.94,46.42,58.53,107.96,164.69,188.04
2021,208.43,234.57,242.54,175.64,112.18,82.68,64.46,57.41,64.19,129.25,185.49,224.54
