,date,precipitation
1,1999-01-01,241.97
2,2000-01-01,260.04
3,2001-01-01,230.55
4,2002-01-01,266.67
5,2003-01-01,230.56
6,2004-01-01,273.77
7,2005-01-01,235.0
8,2006-01-01,208.85
9,2007-01-01,227.22
10,2008-01-01,265.92
11,2009-01-01,243.51
12,2010-01-01,237.16
13,2011-01-01,259.47
14,2012-01-01,244.44
15,2013-01-01,230.94
16,2014-01-01,196.68
17,2015-01-01,187.68
18,2016-01-01,247.71
19,2017-01-01,211.66
20,2018-01-01,213.03
21,2019-01-01,198.8
22,2020-01-01,246.86
23,2021-01-01,208.43
25,1999-02-01,215.34
26,2000-02-01,254.17
27,2001-02-01,209.76
28,2002-02-01,217.73
29,2003-02-01,223.49
30,2004-02-01,275.76
31,2005-02-01,222.93
32,2006-02-01,234.02
33,2007-02-01,247.46
34,2008-02-01,237.22
35,2009-02-01,246.86
36,2010-02-01,208.43
37,2011-02-01,252.15
38,2012-02-01,228.24
39,2013-02-01,215.4
40,2014-02-01,233.06
41,2015-02-01,206.62
42,2016-02-01,183.59
43,2017-02-01,229.37
44,2018-02-01,247.44
45,2019-02-01,214.93
46,2020-02-01,224.1
47,2021-02-01,234.57
49,1999-03-01,242.36
50,2000-03-01,258.93
51,2001-03-01,238.39
52,2002-03-01,211.73
53,2003-03-01,242.78
54,2004-03-01,249.19
55,2005-03-01,273.18
56,2006-03-01,267.41
57,2007-03-01,216.73
58,2008-03-01,277.55
59,2009-03-01,260.56
60,2010-03-01,228.82
61,2011-03-01,273.59
62,2012-03-01,216.53
63,2013-03-01,245.88
64,2014-03-01,243.3
65,2015-03-01,236.38
66,2016-03-01,217.87
67,2017-03-01,223.72
68,2018-03-01,221.83
69,2019-03-01,240.19
70,2020-03-01,232.18
71,2021-03-01,242.54
73,1999-04-01,179.26
74,2000-04-01,200.15
75,2001-04-01,173.5
76,2002-04-01,189.95
77,2003-04-01,182.23
78,2004-04-01,172.87
79,2005-04-01,183.78
80,2006-04-01,223.28
81,2007-04-01,193.59
82,2008-04-01,208.59
83,2009-04-01,224.42
84,2010-04-01,207.97
85,2011-04-01,204.25
86,2012-04-01,162.14
87,2013-04-01,179.39
88,2014-04-01,187.81
89,2015-04-01,185.68
90,2016-04-01,151.11
91,2017-04-01,177.76
92,2018-04-01,200.47
93,2019-04-01,192.22
94,2020-04-01,180.78
95,2021-04-01,175.64
97,1999-05-01,157.61
98,2000-05-01,138.8
99,2001-05-01,129.5
100,2002-05-01,150.98
101,2003-05-01,139.08
102,2004-05-01,133.14
103,2005-05-01,154.97
104,2006-05-01,149.99
105,2007-05-01,130.17
106,2008-05-01,137.82
107,2009-05-01,157.0
108,2010-05-01,132.71
109,2011-05-01,145.7
110,2012-05-01,123.69
111,2013-05-01,144.13
112,2014-05-01,135.7
113,2015-05-01,141.12
114,2016-05-01,115.69
115,2017-05-01,126.23
116,2018-05-01,124.71
117,2019-05-01,145.56
118,2020-05-01,128.93
119,2021-05-01,112.18
120,1998-06-01,87.49
121,1999-06-01,84.39
122,2000-06-01,85.81
123,2001-06-01,98.31
124,2002-06-01,90.36
125,2003-06-01,93.61
126,2004-06-01,80.75
127,2005-06-01,79.76
128,2006-06-01,80.0
129,2007-06-01,71.41
130,2008-06-01,84.38
131,2009-06-01,105.56
132,2010-06-01,79.43
133,2011-06-01,77.7
134,2012-06-01,81.66
135,2013-06-01,96.63
136,2014-06-01,89.16
137,2015-06-01,79.23
138,2016-06-01,75.36
139,2017-06-01,75.53
140,2018-06-01,69.6
141,2019-06-01,78.43
142,2020-06-01,90.98
143,2021-06-01,82.68
144,1998-07-01,66.8
145,1999-07-01,61.46
146,2000-07-01,83.44
147,2001-07-01,67.24
148,2002-07-01,63.18
149,2003-07-01,63.66
150,2004-07-01,75.88
151,2005-07-01,55.59
152,2006-07-01,65.97
153,2007-07-01,70.84
154,2008-07-01,61.34
155,2009-07-01,75.31
156,2010-07-01,70.49
157,2011-07-01,68.47
158,2012-07-01,66.34
159,2013-07-01,75.33
160,2014-07-01,68.24
161,2015-07-01,74.65
162,2016-07-01,60.0
163,2017-07-01,49.2
164,2018-07-01,64.59
165,2019-07-01,65.91
166,2020-07-01,58.94
167,2021-07-01,64.46
168,1998-08-01,64.67
169,1999-08-01,47.66
170,2000-08-01,64.29
171,2001-08-01,46.17
172,2002-08-01,57.81
173,2003-08-01,67.7
174,2004-08-01,53.84
175,2005-08-01,51.48
176,2006-08-01,49.46
177,2007-08-01,54.52
178,2008-08-01,56.78
179,2009-08-01,62.63
180,2010-08-01,42.5
181,2011-08-01,54.04
182,2012-08-01,44.66
183,2013-08-01,65.62
184,2014-08-01,53.45
185,2015-08-01,43.41
186,2016-08-01,53.3
187,2017-08-01,49.07
188,2018-08-01,58.7
189,2019-08-01,48.23
190,2020-08-01,46.42
191,2021-08-01,57.41
192,1998-09-01,79.37
193,1999-09-01,84.5
194,2000-09-01,105.11
195,2001-09-01,79.74
196,2002-09-01,77.91
197,2003-09-01,80.94
198,2004-09-01,67.14
199,2005-09-01,73.62
200,2006-09-01,74.68
201,2007-09-01,60.04
202,2008-09-01,76.01
203,2009-09-01,81.4
204,2010-09-01,63.66
205,2011-09-01,56.26
206,2012-09-01,64.68
207,2013-09-01,78.41
208,2014-09-01,73.15
209,2015-09-01,61.55
210,2016-09-01,67.81
211,2017-09-01,61.71
212,2018-09-01,80.52
213,2019-09-01,61.99
214,2020-09-01,58.53
215,2021-09-01,64.19
216,1998-10-01,123.79
217,1999-10-01,115.89
218,2000-10-01,111.78
219,2001-10-01,123.64
220,2002-10-01,110.96
221,2003-10-01,104.27
222,2004-10-01,122.99
223,2005-10-01,116.48
224,2006-10-01,134.19
225,2007-10-01,116.75
226,2008-10-01,117.69
227,2009-10-01,144.06
228,2010-10-01,124.65
229,2011-10-01,141.82
230,2012-10-01,96.74
231,2013-10-01,121.4
232,2014-10-01,109.0
233,2015-10-01,91.57
234,2016-10-01,122.38
235,2017-10-01,100.66
236,2018-10-01,126.99
237,2019-10-01,115.79
238,2020-10-01,107.96
239,2021-10-01,129.25
240,1998-11-01,177.8
241,1999-11-01,173.11
242,2000-11-01,175.06
243,2001-11-01,161.5
244,2002-11-01,142.24
245,2003-11-01,146.3
246,2004-11-01,148.4
247,2005-11-01,151.39
248,2006-11-01,182.32
249,2007-11-01,160.45
250,2008-11-01,161.83
251,2009-11-01,132.22
252,2010-11-01,161.96
253,2011-11-01,159.15
254,2012-11-01,164.75
255,2013-11-01,168.78
256,2014-11-01,172.01
257,2015-11-01,130.19
258,2016-11-01,136.73
259,2017-11-01,150.14
260,2018-11-01,176.63
261,2019-11-01,150.78
262,2020-11-01,164.69
263,2021-11-01,185.49
264,1998-12-01,197.6
265,1999-12-01,223.2
266,2000-12-01,216.96
267,2001-12-01,214.82
268,2002-12-01,228.65
269,2003-12-01,166.63
270,2004-12-01,177.16
271,2005-12-01,236.18
272,2006-12-01,202.68
273,2007-12-01,203.96
274,2008-12-01,230.09
275,2009-12-01,221.92
276,2010-12-01,212.34
277,2011-12-01,191.08
278,2012-12-01,177.66
279,2013-12-01,215.1
280,2014-12-01,187.42
281,2015-12-01,152.41
282,2016-12-01,187.23
283,2017-12-01,201.15
284,2018-12-01,220.41
285,2019-12-01,175.9
286,2020-12-01,188.04
287,2021-12-01,224.54
